method,outer_fold,optimizer_seed,best_fitness,best_evaluation_index,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,cache_hits,penalty_candidates,penalty_folds,best_penalty_folds,nonfinite_fold_losses,outer_test_used
bayesian_optimization,13,20260813,0.1918256975710392,15,512,1,0.0,0.002757817089359163,1.041382693356071e-06,804357,0,0,0,0,0,False
bayesian_optimization,14,20260811,0.21035656109452247,20,384,1,0.0,0.004857453319448201,1.0814573599508537e-05,455813,0,0,0,0,0,False
bayesian_optimization,14,20260812,0.21152069866657258,22,512,2,0.3,0.0008121432638447957,1.008090125146921e-06,2380293,0,0,0,0,0,False
bayesian_optimization,14,20260813,0.20647992715239524,17,512,2,0.0,0.0009026740293759706,1.855966900689319e-06,2380293,0,0,0,0,0,False
bayesian_optimization,15,20260811,0.19990132078528405,8,512,1,0.0,0.004949538594872876,0.00016793685796765562,804357,0,0,0,0,0,False
bayesian_optimization,15,20260812,0.21326534822583199,15,512,2,0.0,0.0007634772504332132,7.453811251470062e-06,2380293,0,0,0,0,0,False
bayesian_optimization,15,20260813,0.21413086354732513,13,384,1,0.0,0.0031630824757180437,1.3601028185102782e-06,455813,0,0,0,0,0,False
bayesian_optimization,16,20260811,0.20722958333790303,24,512,1,0.0,0.0017517476761986187,2.0936648282779093e-05,804357,0,0,0,0,0,False
bayesian_optimization,16,20260812,0.20549054853618146,22,512,1,0.0,0.0015960849700554266,1.0847019765649444e-06,804357,0,0,0,0,0,False
bayesian_optimization,16,20260813,0.20634959749877452,28,512,1,0.0,0.0015937216833789342,2.8323351292087e-06,804357,0,0,0,0,0,False
bayesian_optimization,17,20260811,0.23990354016423227,18,512,1,0.0,0.003636085589583036,0.0006865075508125366,804357,0,0,0,0,0,False
bayesian_optimization,17,20260812,0.20824534446001053,29,512,2,0.1,0.0008130073646365622,0.00036426838579144355,2380293,0,0,0,0,0,False
bayesian_optimization,17,20260813,0.21060294955968856,14,512,2,0.4,0.00094282044244778,1.4267143991068778e-06,2380293,0,0,0,0,0,False
bayesian_optimization,18,20260811,0.1521835595369339,8,320,1,0.0,0.0045958914406442385,0.00038960513063018674,318405,0,0,0,0,0,False
bayesian_optimization,18,20260812,0.16164675150066615,30,512,2,0.0,0.0021766709784145893,0.0006962885821173182,2380293,0,0,0,0,0,False
bayesian_optimization,18,20260813,0.18557670414447786,26,320,2,0.2,0.0028803724920650046,1.7616040153883645e-05,934725,0,0,0,0,0,False
bayesian_optimization,19,20260811,0.21615784466266633,9,320,1,0.0,0.004979616886212904,4.736115509763203e-05,318405,0,0,0,0,0,False
