method,searches,mean_best_inner_fitness,median_best_inner_fitness,sd_best_inner_fitness,min_best_inner_fitness,max_best_inner_fitness,total_cache_hits,total_penalty_candidates,total_penalty_folds,best_penalty_folds
improved_gwo,60,0.2131471805802236,0.21427189745008945,0.03221456706472235,0.1104189172387123,0.33377726301550864,180,1,1,0
random_search,60,0.23041882605291905,0.2374024184420705,0.039257527433803265,0.1175771951675415,0.28985356390476225,0,0,0,0
bayesian_optimization,60,0.20132976733458544,0.20462767593562603,0.029467379758481044,0.10160593539476395,0.2714881159365177,0,2,2,0
