outer_fold,alpha,fold_01_loss,fold_02_loss,fold_03_loss,fold_04_loss,fold_05_loss,mean_inner_fitness,median_inner_fitness,outer_test_used
1,0.0001,0.526316848863803,0.24619642426376998,2.233164227001694,0.32659790797454147,2.3937264273415506,1.1452003670890718,0.526316848863803,False
1,0.001,0.519841523425506,0.24308475247327097,2.2206020667741613,0.32246150237635907,2.3759239021451863,1.1363827494388967,0.519841523425506,False
1,0.01,0.470248722815804,0.22205266985924096,2.1092332898746657,0.28840425787531354,2.2479751236136556,1.067582812807736,0.470248722815804,False
1,0.1,0.30522076976338514,0.17024371127673657,1.4995707991625762,0.17822085777672267,1.5465726492152647,0.7399657574389371,0.30522076976338514,False
1,1.0,0.1363995970070932,0.10169853999542366,0.4491756370829786,0.10695451264701358,0.5666338322883386,0.27217242380416956,0.1363995970070932,False
1,10.0,0.18889867771002108,0.13555278698855117,0.17482996620551966,0.10295507121111871,0.44673815336254474,0.20979493109555108,0.17482996620551966,False
1,100.0,0.5656126079078337,0.2981206580361455,0.27045979304367784,0.13320323217428837,0.9652833876315527,0.44653593575869965,0.2981206580361455,False
1,1000.0,1.52209849313381,0.8510937631391995,0.6036668885354567,0.37714240992224113,2.244883660319888,1.119777043010119,0.8510937631391995,False
1,10000.0,1.9849867831519084,1.1941726935091121,0.7812941142065404,0.5731659085342858,2.772031707252747,1.4611302413309186,1.1941726935091121,False
2,0.0001,2.0262792332275783,0.13712696744131625,0.4370476903705498,0.22834886728406661,0.9719492782970818,0.7601504073241185,0.4370476903705498,False
2,0.001,2.010282343017407,0.13204299545600068,0.4246478756424471,0.22456550380130907,0.9257495814206248,0.7434576598675577,0.4246478756424471,False
2,0.01,1.8697409126909346,0.09604963000691583,0.34163274131917865,0.19640818308814617,0.6501350629938649,0.6307933060198081,0.34163274131917865,False
2,0.1,1.1307809136391938,0.03127565195839959,0.17321151642277938,0.10919309669679962,0.18297795105383546,0.32548782595420156,0.17321151642277938,False
2,1.0,0.45000154675698123,0.0280518507021549,0.1499999426403244,0.05541242613614437,0.16324838681319476,0.16934283060975994,0.1499999426403244,False
2,10.0,0.7751766367314816,0.04344038529470658,0.14462915021326767,0.05746301239286369,0.2817617012958679,0.2604941771856375,0.14462915021326767,False
2,100.0,1.4143479641305732,0.14333828955551442,0.162636250253112,0.08183568829190949,0.6656322252452617,0.49355808349527414,0.162636250253112,False
2,1000.0,3.0688418943565408,0.5544328896133273,0.3316397587917882,0.28145765448343746,1.060188243994998,1.0593120882480183,0.5544328896133273,False
2,10000.0,4.1335509968554724,0.8545837602582749,0.44559802472713683,0.4287014426585909,1.2277871198273278,1.4180442688653607,0.8545837602582749,False
3,0.0001,2.2823561190392936,0.1877624112063386,0.7250314672485163,0.32113260716226344,1.4371193706497114,0.9906803950612246,0.7250314672485163,False
3,0.001,2.264096208359573,0.18216020649283915,0.7108103676291772,0.31724475518792267,1.4089534027504045,0.9766529880839834,0.7108103676291772,False
3,0.01,2.1041155005386605,0.14315325154413958,0.6000449909721377,0.28442519047816944,1.2098351559713638,0.8683148179008942,0.6000449909721377,False
3,0.1,1.2671468631482323,0.057377436989610106,0.2528279640846893,0.1492244875581903,0.5653574136989021,0.4583868330959248,0.2528279640846893,False
3,1.0,0.4923337280529628,0.025176038093866104,0.1222150703355008,0.06480183506519605,0.10636359920847953,0.16217805415120107,0.10636359920847953,False
3,10.0,0.8476394039501866,0.056298569053668,0.14387627397385241,0.06654467865465012,0.14680112651432292,0.252232010429336,0.14387627397385241,False
3,100.0,1.4671950637396538,0.17042838459321244,0.19772609468064772,0.09544009851039714,0.5302801274093457,0.49221395378665134,0.19772609468064772,False
3,1000.0,3.016259288430342,0.6201259273640043,0.380558708475514,0.31518390048428013,0.9987759329539418,1.0661807515416164,0.6201259273640043,False
3,10000.0,3.9966165545149175,0.9494381768358992,0.503526270117366,0.4746946381832259,1.1872170153827135,1.4222985310068244,0.9494381768358992,False
4,0.0001,2.155780143056643,0.141430414115762,0.6083768070277807,0.28605011176065354,1.213476760029733,0.8810228471981144,0.6083768070277807,False
4,0.001,2.1411808424413823,0.13756710316058623,0.5978987708169152,0.2799374250511998,1.1769575541331596,0.8667083391206486,0.5978987708169152,False
4,0.01,2.007521840683956,0.10886345143743865,0.5197405748599652,0.23453314015274462,0.975855326932719,0.7693028668133646,0.5197405748599652,False
4,0.1,1.2275949574979366,0.04999704588601847,0.2565640399889815,0.11872493382671634,0.4649025663791928,0.4235567087157691,0.2565640399889815,False
4,1.0,0.47716669311083376,0.028316525913836627,0.1171369237131085,0.05890224848350847,0.1307409800879618,0.1624526742618498,0.1171369237131085,False
4,10.0,0.8009669074179995,0.04060140391859118,0.14090622421029714,0.06347534739360709,0.1902876665881173,0.24724750990572245,0.14090622421029714,False
4,100.0,1.331204214230901,0.18187376057540902,0.21539148163041072,0.11044829052696732,0.5608751435862298,0.4799585781099836,0.21539148163041072,False
4,1000.0,2.578545134611843,0.6561819612736828,0.47853561449407794,0.42018566796019546,1.084553449241787,1.0436003655163173,0.6561819612736828,False
4,10000.0,3.393490965413587,0.9653862154231095,0.6231063618268659,0.6410424332309385,1.3090799085974592,1.386421176898392,0.9653862154231095,False
5,0.0001,2.213936642632444,0.12509104680927918,0.2017264960386258,0.17641081141079692,0.10975373407231655,0.5653837461926925,0.17641081141079692,False
5,0.001,2.195329805770174,0.12217248931249518,0.19727023571396513,0.1742780648006685,0.10754151942655892,0.5593184230047724,0.1742780648006685,False
5,0.01,2.0323111396141704,0.10422987861570969,0.17367534410590973,0.15800436470054993,0.09266039526468897,0.5121762244602057,0.15800436470054993,False
5,0.1,1.1880278634176926,0.06680502773493666,0.15878169253190227,0.10269876484620846,0.06768443925648286,0.3167995575574446,0.10269876484620846,False
5,1.0,0.4817019282544338,0.04984974688626867,0.17498981469810485,0.05615870665428403,0.08015668722680624,0.1685713767439795,0.08015668722680624,False
5,10.0,0.8708587078676876,0.083071258373042,0.16828179652472436,0.06145993566147749,0.14518203626463486,0.26577074693831326,0.14518203626463486,False
5,100.0,1.4368514096528755,0.21483059592328094,0.18998977889380714,0.10843603182756405,0.47141693527729733,0.48430495031496507,0.21483059592328094,False
5,1000.0,2.9258376415194087,0.9788186806513581,0.3901880898413548,0.3544630185807135,0.9257994059526716,1.1150213673091014,0.9257994059526716,False
5,10000.0,3.854831838595696,1.5150675532227242,0.5268570575917843,0.5135358160374969,1.098588887282109,1.5017762305459619,1.098588887282109,False
6,0.0001,7.2493813298427225,0.2278441548933568,0.4247903116788896,0.1730576070043271,0.5908543598915816,1.7331855526621756,0.4247903116788896,False
6,0.001,7.212386391881696,0.21979139994412106,0.4130707512743653,0.16899935187666879,0.5820968476330082,1.7192689485219723,0.4130707512743653,False
6,0.01,6.869547057353762,0.17014423381259786,0.3308894895004355,0.13794917494593312,0.5164059434226894,1.6049871798070836,0.3308894895004355,False
6,0.1,4.8915838241013585,0.08447992384821369,0.15156651028349344,0.0620846830546238,0.2806511444511047,1.094073217147759,0.15156651028349344,False
