alpha,outer_contexts,mean_outer_inner_fitness,median_outer_inner_fitness,std_outer_inner_fitness,selected_in_n_outer_contexts,outer_test_used
0.0001,20,1.344535689083579,1.2012384998496572,0.7479031949184609,0,False
0.001,20,1.3260552376519117,1.180951628330565,0.7394109350104385,0,False
0.01,20,1.185027904245728,1.0424562432101114,0.6646498470133536,0,False
0.1,20,0.6673670627428072,0.596527680193236,0.32977615663072096,0,False
1.0,20,0.2653989052824085,0.2596711012785796,0.08176292955681946,16,False
10.0,20,0.29579710900441103,0.2972421021978967,0.03828566937778494,4,False
100.0,20,0.48934009141839907,0.48816657326028556,0.027816647043298386,0,False
1000.0,20,1.1516737359457905,1.1705673411692876,0.05550902136223299,0,False
10000.0,20,1.5833138104842075,1.6148402072468753,0.09383667541024085,0,False
