target,proposed,comparator,n_proteins,mean_abs_error_delta,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,positive_delta_favors_comparator,p_holm,holm_reject_0_05
rmsd,gru_fixed_h512,last_value_persistence,18,0.026253269981979657,-0.17472441938908176,0.24397067307673415,80.0,0.83172607421875,True,0.83172607421875,False
rg,gru_fixed_h512,last_value_persistence,16,0.3828653417332929,0.13591118848264094,0.6398559114628731,19.0,0.009185791015625,True,0.027557373046875,True
sasa,gru_fixed_h512,last_value_persistence,19,598.344642800403,315.4941259340073,929.8929625528832,10.0,0.000164031982421875,True,0.000820159912109375,True
helix,gru_fixed_h512,last_value_persistence,20,0.01968790556113858,0.007300304554914621,0.03391911437946672,39.0,0.012079238891601562,True,0.027557373046875,True
strand,gru_fixed_h512,last_value_persistence,20,0.021988834013207073,0.009466260406687473,0.03941331732812913,17.0,0.0003948211669921875,True,0.00157928466796875,True
